title,title_link,author,publisher,publication_date,#pages,isbn-10,isbn-13,reading_age
The Nanny Diaries: A Novel,https://www.amazon.com/Nanny-Diaries-Novel-Emma-McLaughlin/dp/0312291639/ref=sr_1_1?crid=3GWJAMKP1RN71&keywords=the+nanny+diaries+nicola+kraus&qid=1682877731&s=books&sprefix=the+nanny+diaries_nicola+kraus%2Cstripbooks-intl-ship%2C555&sr=1-1,Emma Mclaughlin,St. Martin's Griffin; First Edition,"Illustrated, March 1, 2003",320.0,0312291639,978-0312291631,
"Blithe Spirit, Hay Fever, Private Lives: Three Plays",https://www.amazon.com/Blithe-Spirit-Fever-Private-Lives/dp/067978179X/ref=sr_1_3?keywords=Private+Lives+by+No%C3%ABl+Coward&qid=1697047390&sr=8-3,Noël Coward,Vintage; 1st Vintage International ed edition,"International Edition, January 26, 1999",256.0,067978179X,978-0679781790,
Skipping Christmas: A Novel,https://www.amazon.com/Skipping-Christmas-Novel-John-Grisham/dp/0440422965/ref=sr_1_1?keywords=Skipping+Christmas+by+John+Grisham&qid=1697047470&sr=8-1,John Grisham,Anchor; Reprint edition,"October 26, 2010",256.0,9780440422969,978-0440422969,
The Miniaturist: A Novel,https://www.amazon.com/Miniaturist-Novel-Jessie-Burton/dp/0062306847/ref=sr_1_1?keywords=The+Miniaturist+by+Jessie+Burton&qid=1697047586&sr=8-1,Jessie Burton,Ecco; Reprint edition,"Illustrated, June 2, 2015",432.0,0062306847,978-0062306845,
Fugitive Pieces: A Novel (Winner Of The Baileys Women'S Prize For Fiction),https://www.amazon.com/Fugitive-Pieces-Novel-Anne-Michaels/dp/0679776591/ref=sr_1_1?keywords=Fugitive+Pieces+by+Anne+Michaels&qid=1697047676&sr=8-1,Anne Michaels,Vintage; First Edition,"May 26, 1998",294.0,9780679776598,978-0679776598,
Fingersmith,https://www.amazon.com/Fingersmith-Sarah-Waters/dp/1573229725/ref=sr_1_1?keywords=Fingersmith+by+Sarah+Waters&qid=1697047744&sr=8-1,Sarah Waters,Riverhead Books; First Edition,"October 1, 2002",582.0,1573229725,978-1573229722,
The Accidental Tourist: A Novel,https://www.amazon.com/Accidental-Tourist-Novel-Anne-Tyler/dp/0345452003/ref=sr_1_1?keywords=The+Accidental+Tourist+by+Anne+Tyler&qid=1697047836&sr=8-1,Anne Tyler,Vintage; Reprint edition,"April 9, 2002",352.0,0345452003,978-0345452009,
Heat And Dust,https://www.amazon.com/Heat-Dust-Ruth-Prawer-Jhabvala/dp/1582430152/ref=sr_1_1?keywords=Heat+and+Dust+by+Ruth+Prawer+Jhabvala&qid=1697047907&sr=8-1,Ruth Prawer Jhabvala,Counterpoint; Reprint edition,"April 16, 1999",190.0,9781582430157,978-1582430157,
A Woman Of No Importance (Mint Editions (Plays)),https://www.amazon.com/Woman-No-Importance-Mint-Editions/dp/1513271253/ref=sr_1_8?keywords=A+Woman+of+No+Importance+by+Oscar+Wilde&qid=1697047989&sr=8-8,Oscar Wilde,Mint Editions,"February 9, 2021",70.0,1513271253,978-1513271255,
Heroes,https://www.amazon.com/Heroes-Robert-Cormier/dp/0440227690/ref=sr_1_1?keywords=Heroes+by+Robert+Cormier&qid=1697048100&sr=8-1,Robert Cormier Robert Cormier,Penguin Books Ltd; Reprint edition,"January 1, 1999",,0141302003,978-0141302003,
The Stories Of John Cheever,https://www.amazon.com/Stories-John-Cheever/dp/0375724427/ref=sr_1_3?crid=2Y235WN0WP5GF&keywords=The+Country+Husband+John+Cheever&qid=1666693434&sprefix=the+country+husband+john+cheever%2Caps%2C562&sr=8-3,John Cheever,Vintage; Reprint edition,"May 16, 2000",704.0,0375724427,978-0375724428,
"Riddley Walker, Expanded Edition",https://www.amazon.com/Riddley-Walker-Expanded-Russell-Hoban/dp/0253212340/ref=sr_1_1?keywords=Riddley+Walker+by+Russell+Hoban&qid=1697048224&sr=8-1,Russell Hoban,Indiana University Press; Expanded edition,"September 22, 1998",256.0,0253212340,978-0253212344,
Desert Places: A Novel Of Terror,https://www.amazon.com/Desert-Places-Terror-Blake-Crouch/dp/145650665X/ref=sr_1_1?keywords=Desert+Places+by+Blake+Crouch&qid=1697048292&sr=8-1,Blake Crouch,CreateSpace Independent Publishing Platform,"February 3, 2011",234.0,145650665X,978-1456506650,
"Surviving The Applewhites: A Newbery Honor Award Winner (Applewhites, 1)",https://www.amazon.com/Surviving-Applewhites-Stephanie-S-Tolan/dp/0064410447/ref=sr_1_1?keywords=Surviving+the+Applewhites+by+Stephanie+S.+Tolan&qid=1697048381&sr=8-1,Stephanie S. Tolan,HarperCollins; Reprint edition,"April 24, 2012",240.0,9780064410441,978-0064410441,9
What'S Eating Gilbert Grape,https://www.amazon.com/Whats-Eating-Gilbert-Grape-Hedges/dp/0671038540/ref=sr_1_1?keywords=What%27s+Eating+Gilbert+Grape+by+Peter+Hedges&qid=1697048433&sr=8-1,Peter Hedges,Simon & Schuster; 10.2.1999 edition,"November 1, 1999",336.0,0671038540,978-0671038540,
When We Dead Awaken,https://www.amazon.com/When-dead-awaken-Henrik-Ibsen/dp/171935510X/ref=sr_1_4?keywords=When+We+Dead+Awaken+by+Henrik+Ibsen&qid=1697048506&sr=8-4,Henrik Ibsen,CreateSpace Independent Publishing Platform,"May 19, 2018",120.0,171935510X,978-1719355100,
If The Oceans Were Ink: An Unlikely Friendship And A Journey To The Heart Of The Quran,https://www.amazon.com/If-Oceans-Were-Ink-Friendship/dp/0805098194/ref=sr_1_1?keywords=If+the+Oceans+Were+Ink+by+Carla+Power&qid=1697048635&sr=8-1,Carla Power,Holt Paperbacks; First Edition,"April 7, 2015",352.0,9780805098198,978-0805098198,
Grinding It Out,https://www.amazon.com/Grinding-Out-McDonalds-Ray-Kroc/dp/125013028X/ref=sr_1_1?keywords=Grinding+It+Out+by+Ray+Kroc&qid=1697048662&sr=8-1,Ray Kroc,Griffin; Reprint edition,"August 2, 2016",220.0,1250127505,978-1250127501,
Dancing Wu Li Masters: An Overview Of The New Physics,https://www.amazon.com/Dancing-Wu-Li-Masters-Overview/dp/0060959681/ref=sr_1_1?keywords=Dancing+Wu+Li+Masters+by+Gary+Zukav&qid=1697048752&sr=8-1,Gary Zukav,HarperOne; Later Printing Used edition,"October 27, 2009",416.0,0060959681,978-0060959685,
Havana Nocturne: How The Mob Owned Cuba And Then Lost It To The Revolution,https://www.amazon.com/Havana-Nocturne-Owned-Cuba-Revolution/dp/0061712744/ref=sr_1_1?keywords=Havana+Nocturne+by+T.+J.+English&qid=1697048833&sr=8-1,T. J. English,William Morrow Paperbacks; Illustrated edition,"Illustrated, June 9, 2009",396.0,0061712744,978-0061712746,
Here I Stand: A Life Of Martin Luther,https://www.amazon.com/Here-Stand-Life-Martin-Luther/dp/1426754434/ref=sr_1_1?keywords=Here+I+Stand+by+Roland+Bainton&qid=1697048900&sr=8-1,Roland H. Bainton,Abingdon Press; Reprint edition,"Illustrated, August 6, 2013",464.0,9781426754432,978-1426754432,
Matryona'S House And Other Stories,https://www.amazon.com/Matryonas-Stories-ALEKSANDR-ISAEVICH-SOLZHENITSYN/dp/0140039856/ref=sr_1_1?keywords=Matryona%27s+House+by+Aleksandr+Solzhenitsyn&qid=1697048957&sr=8-1,Aleksandr Isaevich Solzhenitsyn,PENGUIN BOOKS LTD; New Impression edition,"Import, January 1, 1975",208.0,0140039856,978-0140039856,
The Story Of B (Ishmael Series),https://www.amazon.com/Story-B-Ishmael-Daniel-Quinn/dp/0553379011/ref=sr_1_1?keywords=The+Story+of+B+by+Daniel+Quinn&qid=1697049002&sr=8-1,Daniel Quinn,Bantam,"December 1, 1997",352.0,0553379011,978-0553379013,
All Joy And No Fun: The Paradox Of Modern Parenthood,https://www.amazon.com/All-Joy-No-Fun-Parenthood/dp/0062072242/ref=sr_1_1?keywords=All+Joy+and+No+Fun+by+Jennifer+Senior&qid=1697049095&sr=8-1,Jennifer Senior,Ecco; Reprint edition,"January 20, 2015",336.0,0062072242,978-0062072245,
The Third Plate: Field Notes On The Future Of Food,https://www.amazon.com/Third-Plate-Field-Notes-Future/dp/0143127152/ref=sr_1_1?keywords=The+Third+Plate+by+Dan+Barber&qid=1697049185&sr=8-1,Dan Barber,Penguin Books; Reprint edition,"April 7, 2015",496.0,0143127152,978-0143127154,
The Alexandria Quartet,https://www.amazon.com/Alexandria-Quartet-Lawrence-Durrell/dp/0571283934/ref=sr_1_1?keywords=The+Alexandria+Quartet+by+Lawrence+Durrell&qid=1697049241&sr=8-1,Lawrence Durrell,Faber & Faber; First Edition,"International Edition, September 22, 2020",896.0,0571283934,978-0571283934,
Guerrilla Warfare: 9,https://www.amazon.com/Guerrilla-Warfare-Ernesto-Che-Guevara/dp/8027343070/ref=sr_1_15?keywords=Guerrilla+Warfare+by+Che+Guevara&qid=1697049325&sr=8-15,Ernesto Che Guevara,e-artnow,"July 3, 2022",80.0,8027343070,978-8027343072,
The Rise Of Theodore Roosevelt (Modern Library (Paperback)),https://www.amazon.com/Theodore-Roosevelt-Modern-Library-Paperback/dp/0375756787/ref=sr_1_1?keywords=The+Rise+of+Theodore+Roosevelt+by+Edmund+Morris&qid=1697049418&sr=8-1,Edmund Morris,Random House Trade Paperbacks; Reprint edition,"November 1, 2001",920.0,0375756787,978-0375756788,
It Began In Babel - Paperback Book,https://www.amazon.com/Books-Taming-Queen-Wideacre-Boleyn/dp/0018030300/ref=sr_1_3?crid=1YWK0YP116VHO&keywords=The+Taming+of+the+Queen_Gregory&qid=1682329609&s=instant-video&sprefix=the+taming+of+the+queen_gregory%2Cinstant-video%2C598&sr=1-3,Philipopa Gregory,Variety,"January 1, 2003",0.0,0018030300,978-0018030305,
