title,title_link,author,publisher,publication_date,#pages,isbn-10,isbn-13,reading_age
Descartes: An Intellectual Biography,https://www.amazon.com/Descartes-Intellectual-Biography-Stephen-Gaukroger/dp/0198237243/ref=sr_1_1?keywords=Descartes+by+Stephen+Gaukroger&qid=1696973235&sr=8-1,Stephen Gaukroger,Clarendon Press; Reprint edition,"July 17, 1997",520.0,0198237243,978-0198237242,
Revelation: A Matthew Shardlake Tudor Mystery,https://www.amazon.com/Revelation-Matthew-Shardlake-Tudor-Mystery/dp/014311624X/ref=sr_1_1?keywords=Revelation+by+C.+J.+Sansom&qid=1696973313&sr=8-1,C. J. Sansom,Penguin Books; Reprint edition,"February 23, 2010",560.0,9780143116240,978-0143116240,18
Fair Weather,https://www.amazon.com/Fair-Weather-Richard-Peck/dp/0142500348/ref=sr_1_1?keywords=Fair+Weather+by+Richard+Peck&qid=1696973371&sr=8-1,Richard Peck,Puffin Books; Reprint edition,"September 16, 2003",160.0,0142500348,978-0439430340,8
The Beach Trees,https://www.amazon.com/Beach-Trees-Karen-White/dp/0451491785/ref=sr_1_1?keywords=The+Beach+Trees+by+Karen+White&qid=1696973396&sr=8-1,Karen White,Berkley; 1st edition,"May 3, 2011",432.0,9780451233073,978-0451233073,
Born In Blood And Fire: A Concise History Of Latin America,https://www.amazon.com/Born-Blood-Fire-Concise-History/dp/0393283054/ref=sr_1_1?keywords=Born+in+Blood+and+Fire+by+John+Charles+Chasteen&qid=1696973470&sr=8-1,John Charles Chasteen,W. W. Norton & Company; Fourth edition,"Illustrated, June 21, 2016",432.0,9780393283051,978-0393283051,
"Girl Waits With Gun (A Kopp Sisters Novel, 1)",https://www.amazon.com/Girl-Waits-Kopp-Sisters-Novel/dp/0544800834/ref=sr_1_1?keywords=Girl+Waits+with+Gun+by+Amy+Stewart&qid=1696973503&sr=8-1,Amy Stewart,Mariner Books; Reprint edition,"May 3, 2016",448.0,0544800834,978-0544800830,
Killer Of Enemies (Killer Of Enemies #1),https://www.amazon.com/Killer-Enemies-Joseph-Bruchac/dp/1620142767/ref=sr_1_1?keywords=Killer+of+Enemies+by+Joseph+Bruchac&qid=1696973555&sr=8-1,Joseph Bruchac,Lee & Low Books; Reprint edition,"September 30, 2013",361.0,1620142767,978-1620142769,13
This Side Of Paradise: Premium Edition - Illustrated,https://www.amazon.com/This-Side-Paradise-Premium-Illustrated/dp/1532864884/ref=sr_1_4?keywords=This+Side+of+Paradise+by+F.+Scott+Fitzgerald&qid=1696973590&sr=8-4,F. Scott Fitzgerald,CreateSpace Independent Publishing Platform,"April 23, 2016",190.0,1532864884,978-1532864889,
The Teenage Brain: A Neuroscientist'S Survival Guide To Raising Adolescents And Young Adults,https://www.amazon.com/The-Teenage-Brain-audiobook/dp/B00SZAJPC6/ref=sr_1_1?crid=1BXLMMWAXC7BT&keywords=The+Teenage+Brain_Jensen%2C+Amy+Ellis+Nutt&qid=1682357595&s=audible&sprefix=the+teenage+brain_jensen%2C+amy+ellis+%2Caudible%2C605&sr=1-1,Frances E Jensen,Harper Paperbacks; Reprint edition,"January 26, 2016",384.0,0062067850,978-0062067852,
"Eternity Code, The-Artemis Fowl, Book 3",https://www.amazon.com/Eternity-Code-Artemis-Fowl-Book/dp/1368036953/ref=sr_1_4?keywords=The+Eternity+Code+by+Eoin+Colfer&qid=1696973794&sr=8-4,Eoin Colfer,Disney Hyperion; Reissue edition,"November 6, 2018",384.0,1368036953,978-1368036955,10
Terrible Typhoid Mary: A True Story Of The Deadliest Cook In America,https://www.amazon.com/Terrible-Typhoid-Mary-Deadliest-America/dp/0063295962/ref=sr_1_1?keywords=Terrible+Typhoid+Mary+by+Susan+Campbell+Bartoletti&qid=1696973889&sr=8-1,Susan Campbell Bartoletti,Clarion Books,"August 1, 2023",240.0,0063295962,978-0063295964,13
Shug,https://www.amazon.com/Shug-Jenny-Han/dp/1416909435/ref=sr_1_1?keywords=Shug+by+Jenny+Han&qid=1696973907&sr=8-1,Jenny Han,Simon & Schuster Books for Young Readers; Reprint edition,"October 23, 2007",256.0,1416909435,978-1416909439,9
Rise Of The Robots: Technology And The Threat Of A Jobless Future,https://www.amazon.com/Rise-Robots-Technology-Threat-Jobless/dp/0465097537/ref=sr_1_1?keywords=Rise+of+the+Robots+by+Martin+Ford&qid=1696973967&sr=8-1,Martin Ford,Basic Books; Reprint edition,"Illustrated, July 12, 2016",368.0,0465097537,978-0465097531,
Curveball: The Year I Lost My Grip,https://www.amazon.com/Curveball-Year-Lost-My-Grip/dp/0545320704/ref=sr_1_1?keywords=Curveball+by+Jordan+Sonnenblick&qid=1696974061&sr=8-1,Jordan Sonnenblick,Scholastic Paperbacks; Reissue edition,"February 25, 2014",304.0,0545320704,978-0545320702,12
Three Essays On The Theory Of Sexuality,https://www.amazon.com/Three-Essays-Theory-Sexuality-Sigmund/dp/0465097081/ref=sr_1_3?keywords=Three+Essays+on+the+Theory+of+Sexuality+by+Sigmund+Freud&qid=1696974099&sr=8-3,"Sigmund Freud, James Strachey, Steven Marcus",Basic Books; Revised edition,"February 18, 2000",192.0,0465097081,978-0465097081,
"The Game Of Silence (Birchbark House, 2)",https://www.amazon.com/Game-Silence-Birchbark-House/dp/0064410293/ref=sr_1_1?keywords=The+Game+of+Silence+by+Louise+Erdrich&qid=1696974204&sr=8-1,Louise Erdrich,HarperCollins; Reprint edition,"Illustrated, June 13, 2006",288.0,0064410293,978-0064410298,8
So Yesterday,https://www.amazon.com/So-Yesterday-Scott-Westerfeld/dp/1595140328/ref=sr_1_1?keywords=So+Yesterday+by+Scott+Westerfeld&qid=1696974257&sr=8-1,Scott Westerfeld,Razorbill; Reprint edition,"Bargain Price, September 8, 2005",256.0,1595140328,978-1595140326,12
"Nevermore: The Final Maximum Ride Adventure (Maximum Ride, 8)",https://www.amazon.com/Nevermore-Maximum-Novel-James-Patterson/dp/0316101745/ref=sr_1_1?keywords=Nevermore+by+James+Patterson&qid=1696974280&sr=8-1,James Patterson,jimmy patterson; Reprint edition,"February 25, 2014",368.0,0316101745,978-0316101745,10
Enter Three Witches,https://www.amazon.com/Enter-Three-Witches-audiobook/dp/B002R85KC6/ref=sr_1_1?crid=XLU32ZBDO08I&keywords=enter+three+witches+cooney&qid=1682035141&s=instant-video&sprefix=enter+three+witches_cooney%2Cinstant-video%2C508&sr=1-1,Caroline B. Cooney,Scholastic Paperbacks; Reprint edition,"September 1, 2008",304.0,9780439711579,978-0439711579,12
"Suburban Warriors: The Origins Of The New American Right - Updated Edition (Politics And Society In Modern America, 115)",https://www.amazon.com/Suburban-Warriors-Origins-American-Politics/dp/0691165734/ref=sr_1_1?keywords=Suburban+Warriors+by+Lisa+McGirr&qid=1696974433&sr=8-1,Lisa Mcgirr,Princeton University Press; Revised edition,"June 2, 2015",432.0,0691165734,978-0691165738,
"The Chief Inspector Gamache Series Books 6 - 10 Collection Box Set By Louise Penny (Bury Your Dead, A Trick Of The Light, Beautiful Mystery, How The Light Gets In & Long Way Home)",https://www.amazon.com/Chief-Inspector-Gamache-Books-Collection/dp/9124131245/ref=sr_1_2?crid=2P9I8ZP2114C2&keywords=the+beautiful+mystery+penny&qid=1682528665&sprefix=the+beautiful+mystery_penny%2Caps%2C508&sr=8-2,"Louise Penny, A Trick Of The Light By Louise Penny, The Beautiful Mystery By Louise Penny, Bury Your Dead By Louise Penny",S Ltd,"January 1, 2021",0.0,9124131245,978-9124131241,
"Liar, Temptress, Soldier, Spy: Four Women Undercover In The Civil War",https://www.amazon.com/Liar-Temptress-Soldier-Spy-Undercover/dp/0062092901/ref=sr_1_1?keywords=Liar%2C+Temptress%2C+Soldier%2C+Spy+by+Karen+Abbott&qid=1696974618&sr=8-1,Karen Abbott,Harper Perennial; Reprint edition,"September 8, 2015",544.0,0062092901,978-0062092908,
Hour Of The Bees,https://www.amazon.com/Hour-Bees-Lindsay-Eagar/dp/0763691208/ref=sr_1_1?keywords=Hour+of+the+Bees&qid=1673705781&s=books&sr=1-1,Lindsay Eagar,Candlewick; Reprint edition,"September 12, 2017",368.0,0763691208,978-0763691202,10
Five Flavors Of Dumb,https://www.amazon.com/Five-Flavors-Dumb-Antony-John/dp/0142419435/ref=sr_1_1?keywords=Five+Flavors+of+Dumb+by+Antony+John&qid=1696974750&sr=8-1,Antony John,Speak,"September 29, 2011",368.0,9780142419434,978-0142419434,12
The Accident Season,https://www.amazon.com/Accident-Season-Mo%C3%AFra-Fowley-Doyle/dp/014751732X/ref=sr_1_1?keywords=The+Accident+Season+by+Moira+Fowley-Doyle&qid=1696974768&sr=8-1,Moïra Fowley-Doyle,Speak; Reprint edition,"August 2, 2016",320.0,014751732X,978-0147517326,14
Burnt Shadows: A Novel,https://www.amazon.com/Burnt-Shadows-Novel-Kamila-Shamsie/dp/0312551878/ref=sr_1_1?keywords=Burnt+Shadows+by+Kamila+Shamsie&qid=1696974789&sr=8-1,Kamila Shamsie,Picador; Original edition,"Deckle Edge, April 27, 2009",384.0,0274890909,978-0312551872,
"A Great Deliverance (Inspector Lynley Mysteries, No. 1)",https://www.amazon.com/Great-Deliverance-Inspector-Lynley-Mysteries/dp/0553384791/ref=sr_1_1?keywords=A+Great+Deliverance+by+Elizabeth+George&qid=1696974891&sr=8-1,Elizabeth George,Bantam; Reprint edition,"May 1, 2007",432.0,0553384791,978-0553384796,
The Tombs Of Atuan (2) (Earthsea Cycle),https://www.amazon.com/Tombs-Atuan-Earthsea-Cycle/dp/1442459913/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1681078254&sr=8-1,Ursula K. Le Guin,Atheneum Books for Young Readers; Reissue edition,"September 11, 2012",224.0,1442459913,978-1442459915,12
All The Birds In The Sky,https://www.amazon.com/All-Birds-Charlie-Jane-Anders/dp/0765379953/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1673531622&sr=1-1,Charlie Jane Anders,Tor Books; Reprint edition,"April 11, 2017",320.0,0765379953,978-0765379955,
Starters,https://www.amazon.com/Starters-Lissa-Price/dp/0385742487/ref=sr_1_1?keywords=Starters+by+Lissa+Price&qid=1696975119&sr=8-1,Lissa Price,Ember,"July 23, 2013",384.0,0385742487,978-0385742481,12
Jump Ship To Freedom (Arabus Family Saga) (Arabus Family Saga Series),https://www.amazon.com/Jump-Ship-Freedom-Arabus-Family/dp/0440443237/ref=sr_1_1?crid=35J4BI7I1G1EF&keywords=Jump+Ship+to+Freedom_James+Lincoln+Collier&qid=1682142108&sprefix=jump+ship+to+freedom_james+lincoln+%2Caps%2C594&sr=8-1,James Lincoln Collier,Yearling,"February 1, 1987",208.0,0440443237,978-0440443230,8
Zeroboxer,https://www.amazon.com/Zeroboxer-Fonda-Lee/dp/0738743380/ref=sr_1_1?keywords=Zeroboxer+by+Fonda+Lee&qid=1696975247&sr=8-1,Fonda Lee,Flux; First Edition,"April 8, 2015",360.0,0738743380,978-0738743387,
The Sleepwalkers: How Europe Went To War In 1914,https://www.amazon.com/Sleepwalkers-How-Europe-Went-1914/dp/0061146668/ref=sr_1_1?keywords=The+Sleepwalkers+by+Christopher+Clark&qid=1696975291&sr=8-1,Christopher Clark,Harper Perennial; Reprint edition,"March 18, 2014",736.0,0061146668,978-0061146664,
"""B"" Is For Burglar: A Kinsey Millhone Mystery (Kinsey Millhone Alphabet Mysteries, 2)",https://www.amazon.com/Burglar-Kinsey-Millhone-Alphabet-Mysteries/dp/0312939000/ref=sr_1_1?keywords=B+Is+for+Burglar+by+Sue+Grafton&qid=1696975401&sr=8-1,Sue Grafton,St. Martin's Griffin; Reprint edition,"June 5, 2012",320.0,9781250020246,978-1250020246,
The Milk Of Birds,https://www.amazon.com/Milk-Birds-Sylvia-Whitman/dp/1442446838/ref=sr_1_1?keywords=The+Milk+of+Birds+by+Sylvia+Whitman&qid=1696975517&sr=8-1,Sylvia Whitman,Atheneum Books for Young Readers; Reprint edition,"March 11, 2014",384.0,1442446838,978-1442446830,14
The Madonnas Of Leningrad: A Novel,https://www.amazon.com/Madonnas-Leningrad-Novel-Debra-Dean/dp/0060825316/ref=sr_1_1?keywords=The+Madonnas+of+Leningrad+by+Debra+Dean&qid=1696975551&sr=8-1,Debra Dean,Harper Perennial,"Deckle Edge, February 19, 2007",231.0,0060825316,978-0060825317,
"The Great Divergence: China, Europe, And The Making Of The Modern World Economy (Princeton Classics, 117)",https://www.amazon.com/Great-Divergence-Economy-Princeton-Classics/dp/0691217181/ref=sr_1_1?keywords=The+Great+Divergence&qid=1675169266&s=books&sr=1-1,Kenneth Pomeranz,Princeton University Press,"April 13, 2021",404.0,0691217181,978-0691217185,
If You Could Be Mine: A Novel,https://www.amazon.com/If-You-Could-Be-Mine/dp/1616204559/ref=sr_1_1?keywords=If+You+Could+Be+Mine+by+Sara+Farizan&qid=1696975621&sr=8-1,Sara Farizan,Algonquin Books,"September 9, 2014",272.0,9781616204556,978-1616204556,14
The Red Necklace,https://www.amazon.com/Red-Necklace-Sally-Gardner/dp/0803731000/ref=sr_1_1?keywords=The+Red+Necklace+by+Sally+Gardner&qid=1696975636&sr=8-1,Sally Gardner,Speak; Reprint edition,"September 17, 2009",378.0,0142414883,978-0142414880,12
The Astonishing Adventures Of Fanboy And Goth Girl,https://www.amazon.com/Astonishing-Adventures-Fanboy-Goth-Girl/dp/0618723927/ref=sr_1_1?keywords=The+Astonishing+Adventures+of+Fanboy+and+Goth+Girl+by+Barry+Lyga&qid=1696975685&sr=8-1,Barry Lyga,Clarion Books; Reprint edition,"September 24, 2007",320.0,0618916520,978-0618916528,12
Frog Music,https://www.amazon.com/Frog-Music-Emma-Donoghue/dp/0316324671/ref=sr_1_1?keywords=Frog+Music+by+Emma+Donoghue&qid=1696975725&sr=8-1,Emma Donoghue,Back Bay Books; Reprint edition,"February 24, 2015",433.0,0316324671,978-0316324670,
Dragon Slippers,https://www.amazon.com/Dragon-Slippers-Jessica-Day-George/dp/1599902753/ref=sr_1_1?keywords=Dragon+Slippers+by+Jessica+Day+George&qid=1696975791&sr=8-1,Jessica Day George,Bloomsbury USA Childrens; First Edition,"May 1, 2008",352.0,1599902753,978-1599902753,8
The Sea Captain'S Wife: A Novel,https://www.amazon.com/Sea-Captains-Wife-Novel/dp/0452296951/ref=sr_1_1?keywords=The+Sea+Captain%27s+Wife+by+Beth+Powning&qid=1696975883&sr=8-1,Beth Powning,Plume; Reprint edition,"February 22, 2011",384.0,9780452296954,978-0452296954,
Foucault'S Pendulum,https://www.amazon.com/Foucaults-Pendulum-Umberto-Eco/dp/015603297X/ref=sr_1_1?keywords=Foucault%27s+Pendulum+by+Umberto+Eco&qid=1696975902&sr=8-1,Umberto Eco,Mariner Books; First Edition,"March 5, 2007",640.0,9780156032971,978-0156032971,
The Last Days Of Ptolemy Grey: A Novel,https://www.amazon.com/Last-Days-Ptolemy-Grey/dp/B004BRUU26/ref=sr_1_1?crid=2Q9NPIUDH5XEG&keywords=The+Last+Days+of+Ptolemy+Grey_Mosley&qid=1683021753&sprefix=the+last+days+of+ptolemy+grey_m%2Caps%2C594&sr=8-1,Walter Mosley,Riverhead Books; First Edition,"November 1, 2011",277.0,159448550X,978-1594485503,
The Hamilton Affair: A Novel,https://www.amazon.com/Hamilton-Affair-Novel-Elizabeth-Cobbs/dp/1628728558/ref=sr_1_1?keywords=The+Hamilton+Affair+by+Elizabeth+Cobbs&qid=1696976066&sr=8-1,Elizabeth Cobbs,Arcade; Reprint edition,"June 6, 2017",433.0,1628728558,978-1628728552,
Twenty Boy Summer,https://www.amazon.com/Twenty-Boy-Summer-Sarah-Ockler/dp/0316051586/ref=sr_1_1?keywords=Twenty+Boy+Summer+by+Sarah+Ockler&qid=1696976126&sr=8-1,Sarah Ockler,"Little, Brown Books for Young Readers; Reprint edition","May 1, 2010",320.0,0316051586,978-0316051583,12
The Beggar King And The Secret Of Happiness: A True Story,https://www.amazon.com/Beggar-King-Secret-Happiness-Story/dp/1565125126/ref=sr_1_1?crid=20VRRAPCGKOOQ&keywords=the+beggar+king+and+the+secret+of+happiness+izzy&qid=1681848694&sprefix=the+beggar+king+and+the+secret+of+h%2Caps%2C592&sr=8-1,Joel Ben Izzy,Algonquin Books; 52841st edition,"September 2, 2005",228.0,1565125126,978-1565125124,
W Is For Wasted (A Kinsey Millhone Novel),https://www.amazon.com/W-Wasted-Kinsey-Millhone-Novel/dp/0399575243/ref=sr_1_1?keywords=W+Is+for+Wasted+by+Sue+Grafton&qid=1696976194&sr=8-1,Sue Grafton,G.P. Putnam's Sons,"March 1, 2016",576.0,0399575243,978-0399575242,
Leaving The Atocha Station,https://www.amazon.com/Leaving-Atocha-Station-Ben-Lerner/dp/1566892740/ref=sr_1_1?keywords=Leaving+the+Atocha+Station+by+Ben+Lerner&qid=1696976224&sr=8-1,Ben Lerner,Coffee House Press; Second Printing edition,"August 23, 2011",186.0,1566892740,978-1566892742,
"The Last Patriot: A Thriller (Scot Harvath Series, The)",https://www.amazon.com/Last-Patriot-Thriller-Scot-Harvath/dp/1982148314/ref=sr_1_1?keywords=The+Last+Patriot+by+Brad+Thor&qid=1696976294&sr=8-1,Brad Thor,Emily Bestler Books,"April 6, 2021",336.0,1982148314,978-1982148317,
"In The Shadow Of Liberty: The Hidden History Of Slavery, Four Presidents, And Five Black Lives",https://www.amazon.com/Shadow-Liberty-History-Slavery-Presidents/dp/1250144116/ref=sr_1_1?keywords=In+the+Shadow+of+Liberty+by+Kenneth+C.+Davis&qid=1696976400&sr=8-1,Kenneth C. Davis,Square Fish; Reprint edition,"January 8, 2019",304.0,1250144116,978-1250144119,10
The Final Four,https://www.amazon.com/Final-Four-Paul-Volponi/dp/0142423858/ref=sr_1_1?keywords=The+Final+Four+by+Paul+Volponi&qid=1696976422&sr=8-1,Paul Volponi,Speak,"January 10, 2013",272.0,0142423858,978-0142423851,12
Denton Little'S Deathdate (Denton Little Series),https://www.amazon.com/Denton-Littles-Deathdate-Little/dp/0553496999/ref=sr_1_1?keywords=Denton+Little%27s+Deathdate+by+Lance+Rubin&qid=1696976505&sr=8-1,Lance Rubin,Ember; Reprint edition,"February 7, 2017",368.0,0553496999,978-0553496994,14
Sobrenatural - Unearthly (Em Portugues Do Brasil),https://www.amazon.com/Sobrenatural-Unearthly-Em-Portugues-Brasil/dp/8516060179/ref=sr_1_14?keywords=Unearthly+by+Cynthia+Hand&qid=1696976532&sr=8-14,Cynthia Hand,Moderna,"January 1, 2012",,8516060179,978-8516060176,
How To Save A Life,https://www.amazon.com/How-Save-Life-Sara-Zarr/dp/0316036056/ref=sr_1_1?keywords=How+To+Save+A+Life+by+Sara+Zarr&qid=1696976641&sr=8-1,Sara Zarr,"Little, Brown Books for Young Readers; Reprint edition","October 30, 2012",368.0,0274992752,978-0274992751,12
All Fall Down,https://www.amazon.com/All-Fall-Down-Sally-Nicholls/dp/1783449314/ref=sr_1_1?keywords=All+Fall+Down+by+Sally+Nicholls&qid=1696976678&sr=8-1,Sally Nicholls,Andersen Press,"September 5, 2019",0.0,1783449314,978-1783449316,12
The Probability Of Miracles,https://www.amazon.com/Probability-Miracles-Wendy-Wunder/dp/1595143688/ref=sr_1_1?keywords=The+Probability+Of+Miracles+by+Wendy+Wunder&qid=1696976709&sr=8-1,Wendy Wunder,Razorbill; Reprint edition,"July 5, 2012",336.0,1595144803,978-1595144805,14
Behind The Mask Of Chivalry: The Making Of The Second Ku Klux Klan,https://www.amazon.com/Behind-Mask-Chivalry-Making-Second/dp/0195098366/ref=sr_1_1?keywords=Behind+the+Mask+of+Chivalry+by+Nancy+Maclean&qid=1696976728&sr=8-1,Nancy K. Maclean,Oxford University Press; First Edition,"July 13, 1995",336.0,0195098366,978-0195098365,
The Darkest Child,https://www.amazon.com/Darkest-Child-Delores-Phillips/dp/1616958723/ref=sr_1_1?keywords=the+darkest+child+by+dolores+phillips&qid=1696976758&sr=8-1,Delores Phillips,Soho Press; Special Edition,"Special Edition, January 30, 2018",432.0,1616958723,978-1616958725,
"Justice And The Politics Of Difference (Princeton Classics, 122)",https://www.amazon.com/Justice-Politics-Difference-Princeton-Classics/dp/0691235163/ref=sr_1_1?keywords=Justice+and+the+Politics+of+Difference+by+Iris+Marion+Young&qid=1696976797&sr=8-1,Iris Marion Young,Princeton University Press,"April 26, 2022",304.0,0691235163,978-0691235165,
Prophecy Of The Sisters[Prophecy Of The Sisters][Paperback],https://www.amazon.com/Prophecy-Sisters-PROPHECY-SISTERS-Paperback/dp/B00QPR32DO/ref=sr_1_6?keywords=Prophecy+Of+The+Sisters+by+Michelle+Zink&qid=1696976845&sr=8-6,Michellezink,"Little,BrownBooksforYoungReaders","July 31, 2010",0.0,,,
"Walk On Earth A Stranger (Gold Seer Trilogy, 1)",https://www.amazon.com/Walk-Earth-Stranger-Gold-Trilogy/dp/006224292X/ref=sr_1_1?keywords=Walk+On+Earth+A+Stranger+by+Rae+Carson&qid=1696976948&sr=8-1,Rae Carson,Greenwillow Books; Reprint edition,"September 6, 2016",464.0,006224292X,978-0062242921,13
All Is Not Forgotten,https://www.amazon.com/All-Not-Forgotten-Wendy-Walker/dp/1250097932/ref=sr_1_1?keywords=All+Is+Not+Forgotten+by+Wendy+Walker&qid=1696977004&sr=8-1,Wendy Walker,Griffin; Reprint edition,"July 18, 2017",348.0,9781250097934,978-1250097934,
Monstrous Regiment (For The Stage),https://www.amazon.com/Monstrous-Regiment-Discworld-Terry-Pratchett/dp/006230741X/ref=sr_1_1?keywords=Monstrous+Regiment+by+Terry+Pratchett&qid=1696977089&sr=8-1,Stephen Briggs,Methuen Drama; Revised edition,"April 8, 2008",128.0,0413774457,978-0413774453,
Spooks Secret,https://www.amazon.com/Night-Soul-Stealer-Last-Apprentice/dp/B000VKCIW2/ref=sr_1_1?crid=3BKYYUZZ872QM&keywords=the+last+apprentice+delaney&qid=1682992127&s=instant-video&sprefix=the+last+apprentice_delaney%2Cinstant-video%2C497&sr=1-1,Joseph Delaney,Red Fox,"January 1, 2014",,1782952470,978-1782952473,
One Fat Summer (Ursula Nordstrom Book),https://www.amazon.com/One-Fat-Summer-Robert-Lipsyte/dp/0553120255/ref=sr_1_1?keywords=One+Fat+Summer+by+Robert+Lipsyte&qid=1696977203&sr=8-1,Robert Lipsyte,HarperTeen; Reprint edition,"August 10, 2004",240.0,0064470733,978-0064470735,13
Some Boys,https://www.amazon.com/Some-Boys-Patty-Blount/dp/1402298560/ref=sr_1_1?keywords=Some+Boys+by+Patty+Blount&qid=1696977228&sr=8-1,Patty Blount,Sourcebooks Fire,"August 5, 2014",352.0,9781402298561,978-1402298561,14
The Revenge Of Geography: What The Map Tells Us About Coming Conflicts And The Battle Against Fate,https://www.amazon.com/Revenge-Geography-Coming-Conflicts-Against/dp/0812982223/ref=sr_1_1?keywords=The+Revenge+of+Geography+by+Robert+D.+Kaplan&qid=1696977247&sr=8-1,Robert D. Kaplan,Random House Trade Paperbacks; Reprint edition,"September 10, 2013",448.0,9780812982220,978-0812982220,
Mistress Of The Art Of Death,https://www.amazon.com/Mistress-Art-Death-Ariana-Franklin/dp/0857500368/ref=sr_1_1?keywords=Mistress+Of+The+Art+Of+Death+by+Ariana+Franklin&qid=1696977340&sr=8-1,Ariana Franklin,Bantam,"January 1, 2011",528.0,9780857500366,978-0857500366,
"Killer Pizza (Killer Pizza, 1)",https://www.amazon.com/Killer-Pizza-Greg-Taylor/dp/0312674856/ref=sr_1_4?keywords=Killer+Pizza+by+Greg+Taylor&qid=1696977444&sr=8-4,Greg Taylor,Square Fish; Reprint edition,"May 24, 2011",368.0,0312674856,978-0312674854,9
"The Naturals (The Naturals, 1)",https://www.amazon.com/Naturals-1-Jennifer-Lynn-Barnes/dp/0316540625/ref=sr_1_1?keywords=The+Naturals+by+Jennifer+Lynn+Barnes&qid=1696977511&sr=8-1,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers; New edition","May 2, 2023",352.0,0316540625,978-0316540629,13+
"Deadly Little Secret (A Touch Novel) (A Touch Novel, 1)",https://www.amazon.com/Deadly-Little-Secret-Touch-Novel/dp/1423111982/ref=sr_1_1?keywords=Deadly+Little+Secret+by+Laurie+Faria+Stolarz&qid=1696977602&sr=8-1,Laurie Faria Stolarz,Hyperion Book CH; Reprint edition,"November 10, 2009",272.0,1423111982,978-1423111986,
Daniel Coyle 2 Books Collection Set [The Culture Code: The Secrets Of Highly Successful Groups & The Talent Code: Greatness Isn'T Born. It'S Grown],https://www.amazon.com/Daniel-Coyle-Books-Collection-Culture/dp/B0B5N59BDG/ref=sr_1_8?keywords=The+Culture+Code+by+Daniel+Coyle&qid=1696977690&sr=8-8,Daniel Coyle,Generic,"January 1, 2019",590.0,,,13
"The Crimson Crown (A Seven Realms Novel, 4)",https://www.amazon.com/Crimson-Crown-Seven-Realms-Novel/dp/142315214X/ref=sr_1_1?keywords=The+Crimson+Crown+by+Cinda+Williams+Chima&qid=1696977799&sr=8-1,Cinda Williams Chima,"Little, Brown Books for Young Readers","October 1, 2013",624.0,142315214X,978-1423152149,12
Say What You Will,https://www.amazon.com/Say-What-Will-Cammie-McGovern/dp/0062271113/ref=sr_1_1?keywords=Say+What+You+Will+by+Cammie+McGovern&qid=1696977873&sr=8-1,Cammie Mcgovern,HarperTeen; Reprint edition,"May 5, 2015",368.0,0062271113,978-0062271112,14
My Friend Dahmer,https://www.amazon.com/My-Friend-Dahmer-Derf-Backderf/dp/1419702173/ref=sr_1_1?keywords=My+Friend+Dahmer+by+Derf+Backderf&qid=1696977906&sr=8-1,Derf Backderf,Abrams ComicArts; Illustrated edition,"Illustrated, March 1, 2012",224.0,1419702173,978-1419702174,
"Listen, Slowly",https://www.amazon.com/Listen-Slowly-Thanhha-Lai/dp/0062229192/ref=sr_1_1?keywords=Listen%2C+Slowly+by+Thanhha+Lai&qid=1696978000&sr=8-1,Thanhhà Lai,HarperCollins; Reprint edition,"May 17, 2016",288.0,0062229192,978-0062229199,9
Icefall,https://www.amazon.com/Icefall-Matthew-J-Kirby/dp/0545274257/ref=sr_1_1?crid=3PWNYLK4YNLQR&keywords=icefall+kirby&qid=1682224790&s=instant-video&sprefix=icefall_kirby%2Cinstant-video%2C284&sr=1-1,Matthew J. Kirby,Scholastic Paperbacks; Reissue edition,"February 1, 2013",336.0,0545274257,978-0545274258,9
Give And Take: Why Helping Others Drives Our Success,https://www.amazon.com/Give-Take-Helping-Others-Success/dp/0143124986/ref=sr_1_1?keywords=Give+and+Take+by+Adam+Grant&qid=1696978099&sr=8-1,Adam Grant,Penguin Books; Reprint edition,"March 25, 2014",320.0,0315782145,978-0315782143,
The Obstacle Is The Way By Ryan Holiday Hardcover 2014,https://www.amazon.com/Obstacle-Ryan-Holiday-Hardcover-2014/dp/B09V8225Z1/ref=sr_1_2?crid=23Y3QAH27BON0&keywords=The+Obstacle+is+the+Way+Ryan+Holiday&qid=1666846065&qu=eyJxc2MiOiIxLjgwIiwicXNhIjoiMS43NiIsInFzcCI6IjEuNzQifQ%3D%3D&sprefix=the+obstacle+is+the+way+ryan+holiday%2Caps%2C568&sr=8-2,Ryan Holiday,Generic,"January 1, 2014",230.0,,,12
"Of Poseidon (The Syrena Legacy, 1)",https://www.amazon.com/Poseidon-Syrena-Legacy-Anna-Banks/dp/1250027365/ref=sr_1_1?keywords=Of+Poseidon+by+Anna+Banks&qid=1696978319&sr=8-1,Anna Banks,Square Fish; Reprint edition,"April 30, 2013",384.0,1250027365,978-1250027368,13
Every Fifteen Minutes,https://www.amazon.com/Every-Fifteen-Minutes-Lisa-Scottoline/dp/1250010128/ref=sr_1_1?keywords=Every+Fifteen+Minutes+by+Lisa+Scottoline&qid=1696978400&sr=8-1,Lisa Scottoline,St. Martin's Griffin; Reprint edition,"March 1, 2016",464.0,1250010128,978-1250010124,
